Epoch  Rx[gon]  Ry[gon]  Rz[gon]  tx[m]  ty[m]  tz[m]  Std_Rx[mgon]  Std_Ry[mgon]  Std_Rz[mgon]  Std_tx[mm]  Std_ty[mm]  Std_tz[mm]
2 -0.0840273350 0.4331823289 -0.8447571993 -0.0078807995 0.0033301115 0.0079215840 2.7918842759 4.5345249246 3.2103331792 0.0441141955 0.1299686253 0.0256393753
3 -0.1451222450 0.0190964546 -0.1969847530 0.0035179779 0.0087949038 0.0047105178 2.8781290297 4.5917301798 2.9584626862 0.0418020685 0.0745686971 0.0287090336
4 0.5042553544 -1.0621616840 0.7330884337 0.0226952061 0.0113779306 -0.0094664693 2.9391686076 4.4531080231 3.1140048428 0.0439943536 0.0812918977 0.0267255437
5 -0.2632965744 -1.3448076248 -0.0432378091 0.0061407685 0.0108714104 0.0015213639 3.2766329584 5.0364809350 3.6379978691 0.0495743879 0.1183597477 0.0291402752
6 -0.0429339111 -2.2175035477 0.6427297592 0.0159762278 0.0121334791 -0.0049171969 4.7135389071 5.6411297483 4.3092929638 0.0585569647 0.1720351571 0.0365770727
7 -0.0029193931 -1.9708697796 1.8535180092 0.0338095576 0.0091123581 -0.0106295981 5.6004020310 6.7155506978 9.0980363009 0.1243514096 0.1206669664 0.0422860981
8 -1.5279626846 -1.1334199905 0.6189628243 0.0134641826 0.0042326450 0.0168178640 4.2695716700 5.4550678805 8.3471960736 0.1095961433 0.1472168415 0.0332938329
9 -1.0244109631 -1.6440815926 0.0959140882 0.0008962974 0.0067375898 0.0071323998 4.5290738507 5.7089801823 6.0128824975 0.0858390001 0.1085804050 0.0362850744
10 0.0681857392 -0.7955349684 0.3210341334 0.0100100860 0.0102051497 -0.0077374950 4.1409425484 5.0777847207 5.5943554867 0.0708135649 0.0827950354 0.0346666872
11 0.5607748032 1.0779865980 -1.3795455694 -0.0134362131 0.0132791996 -0.0091767982 4.8103136641 7.1526618420 9.4697576639 0.1232973314 0.0976206037 0.0540986967
12 0.6147560477 1.4730923176 -0.3871004283 0.0026891530 0.0080671310 -0.0085814372 4.7680097150 7.3889467254 9.7246784451 0.1354799075 0.1039709398 0.0562385810
13 0.9545097947 1.4983004332 -1.5895835161 -0.0256801695 0.0073686838 -0.0140981600 3.8617660631 6.7536452958 6.0060317412 0.0918229060 0.0880139815 0.0492847569
14 1.1591157913 1.3178800344 0.2548758984 0.0065869614 0.0050115585 -0.0143058412 4.1453742302 7.0396046289 6.6811460441 0.0984380548 0.0939217636 0.0504725988
15 0.2247477919 0.3563185632 1.0106379986 0.0136939660 0.0071606636 -0.0106010828 3.9232675325 7.8403359345 5.7833914238 0.0789646553 0.0634272840 0.0404843402
16 0.3137404919 1.1402306557 0.8014547229 0.0109082907 -0.0008298159 -0.0103557780 3.8902389870 8.3102379294 5.8816826290 0.0822112000 0.0567528561 0.0430278638
17 0.9422224760 1.4147791862 -0.4268448949 -0.0130274147 -0.0028028488 -0.0209047627 2.8278618158 6.8714090206 5.0884489282 0.0719079807 0.0466115929 0.0312279361
18 0.9817419648 1.2472413778 0.2170861065 -0.0024105683 -0.0026587248 -0.0204397421 3.1123141103 7.1547138634 5.0244719806 0.0721033101 0.0449257491 0.0339940010
19 0.7061740160 1.6672695875 0.8886898756 0.0058843717 -0.0020102262 -0.0177553836 3.4658785145 7.5191728617 5.5522571658 0.0789506114 0.0514919533 0.0366321619
20 1.0374808311 2.1259331703 0.7507061362 0.0001827851 -0.0028729439 -0.0272939205 3.3419321674 7.5417075089 5.1682600904 0.0770978078 0.0498257373 0.0363373932
