Err_Rx[mgon]  Err_Ry[mgon]  Err_Rz[mgon]  Err_tx[mm]  Err_ty[mm]  Err_tz[mm]
1.62992 6.6812 0.893891 0.0333469 1.14071 0.0409484 
8.4037 5.93999 0.113085 0.0422883 0.15533 0.182355 
5.30946 8.9879 10.9641 0.21692 0.17488 0.0927625 
4.10205 3.15273 1.18221 0.103427 0.13721 0.0820248 
1.15874 8.33368 8.76385 0.278421 0.033021 0.000897795 
2.72216 26.4161 29.6118 0.95414 0.708662 0.0295546 
8.19194 4.80127 57.0779 0.429526 0.17507 0.104897 
1.09267 12.4609 12.5026 0.371931 0.432681 0.0206861 
14.5371 4.90165 2.97669 0.210078 0.20756 0.257089 
8.68046 12.7515 38.1317 0.65885 0.246257 0.194564 
4.93312 11.8831 23.8768 0.754852 0.341184 0.0536386 
11.9509 17.7546 14.1128 0.327978 0.306819 0.223719 
14.9591 8.65781 2.01654 0.235599 0.173949 0.45253 
1.70535 21.1106 23.5517 0.878029 0.222417 0.108603 
8.41451 10.2727 0.975668 0.526773 0.349402 0.271002 
23.2085 8.75233 25.8661 0.536462 0.38166 0.633854 
21.8723 11.2735 23.9913 0.537863 0.366941 0.551026 
25.3878 6.07744 24.4924 0.351965 0.45329 0.68704 
21.0506 0.310659 28.1038 0.0234023 0.445358 0.591125 
