Epoch  Rx[gon]  Ry[gon]  Rz[gon]  tx[m]  ty[m]  tz[m]  Std_Rx[mgon]  Std_Ry[mgon]  Std_Rz[mgon]  Std_tx[mm]  Std_ty[mm]  Std_tz[mm]
2 -0.0840273350 0.4331823289 -0.8447571993 -0.0078807995 0.0033301115 0.0079215840 2.7917065472 4.5343240494 3.2103568026 0.0441134900 0.1299692271 0.0256320112
3 -0.1451222450 0.0190964546 -0.1969847530 0.0035179779 0.0087949038 0.0047105178 2.8781973481 4.5916132124 2.9587413315 0.0417971291 0.0745654075 0.0287054002
4 0.5042553544 -1.0621616840 0.7330884337 0.0226952061 0.0113779306 -0.0094664693 2.9395017505 4.4531541701 3.1142356523 0.0440000000 0.0812896057 0.0267207784
5 -0.2632965744 -1.3448076248 -0.0432378091 0.0061407685 0.0108714104 0.0015213639 3.2765824602 5.0365436101 3.6382137693 0.0495782210 0.1183596215 0.0291376046
6 -0.0429339111 -2.2175035477 0.6427297592 0.0159762278 0.0121334791 -0.0049171969 4.7135664999 5.6411840387 4.3093092878 0.0585576639 0.1720348802 0.0365786823
7 -0.1474918574 -1.9475518465 1.6610035896 0.0373522975 0.0177783594 -0.0059499675 6.2902155692 8.1380526665 9.5690543718 0.1321287312 0.1419969969 0.0514860003
8 -1.0338329077 -2.2003996372 1.3433204889 0.0358283073 0.0156287439 0.0076066758 5.1813586866 7.0361873372 8.9150186781 0.1193678651 0.1688458231 0.0429042263
9 -0.5213719010 -2.7069501877 0.8160216212 0.0233945157 0.0180673115 -0.0022669737 5.4094170964 7.2246340380 6.7803016725 0.0968194847 0.1357574232 0.0454437228
10 -0.2019823343 -2.1389906406 0.2812418044 0.0163198542 0.0210375618 -0.0060450970 5.2642514186 7.1530245168 6.6849957624 0.0870279348 0.1445282762 0.0452492839
11 0.5659172535 -1.1399263144 -0.7375664115 0.0027347300 0.0252734721 -0.0145652965 6.7128294372 9.1051209897 10.4220744250 0.1377265831 0.1976614686 0.0646661894
12 0.5853277445 -0.7446315885 0.2547130585 0.0188812539 0.0202245638 -0.0134052113 6.6654737372 9.2924143747 10.6644621576 0.1488892549 0.2008890882 0.0662363365
13 0.8557465076 -0.4523282349 0.0683524311 0.0119331004 0.0244534947 -0.0208440460 7.3214995847 10.5804967311 11.3318069539 0.1612197173 0.1667815523 0.0698932644
14 0.6272585392 -1.3870072365 1.0601000786 0.0305220373 0.0230533108 -0.0163204111 6.7337342299 10.0793717254 9.5848315161 0.1391536122 0.1647122128 0.0665408863
15 0.7981522083 -0.3975257576 1.2685884237 0.0326683521 0.0275376122 -0.0237791203 7.7305325222 12.1791958250 12.1129972941 0.1686367107 0.2106542741 0.0772920482
16 1.1637510061 0.6770642996 0.8849791884 0.0229155030 0.0237747431 -0.0311322771 8.2915001576 13.4783325554 12.7410995891 0.1808307483 0.1761487974 0.0815866375
17 1.5786172152 0.0319377743 0.6473198533 0.0179986916 0.0202476494 -0.0375306085 7.2919845692 12.2163917790 10.8396589671 0.1566105478 0.1711919340 0.0729913237
18 1.6041202545 -0.1419566423 1.2894225121 0.0285990629 0.0205637366 -0.0368330106 7.4074166677 12.3793403403 10.8079142278 0.1566089879 0.1707923033 0.0740915686
19 1.3138673306 0.2715655863 1.9648770094 0.0368219204 0.0213227831 -0.0339623243 7.5601005430 12.5983782457 11.0592699739 0.1598436675 0.1726360351 0.0753538465
20 1.6482324600 0.7315278649 1.8313460350 0.0313432217 0.0204627439 -0.0436308421 7.5073389947 12.6069467635 10.8752135746 0.1588429077 0.1721264975 0.0750641784
